ped	id	sex	mother	father	Total_Ages_Available	ID	Exists_As_Adult	RRBS_Missingness	Total_NG_Remaining
1	126	1	0	0	1	B2X3074	1	0.918919631	3024
1	127	1	0	0	1	B2X3081	1	0.938482331	740
1	128	1	0	0	1	B2X3087	1	0.91090838	582.660867
1	130	1	0	0	2	B2X3265	1	0.954751247	439.5
1	132	1	0	0	2	B2X3350	1	0.761907548	1053
1	134	1	0	0	1	B2X3498	1	0.887023531	816
1	135	1	0	0	1	B2X3621	1	0.883346672	30
1	136	2	0	0	1	B2X3622	1	0.944881139	0
1	137	2	0	0	1	B2X3630	1	0.931058433	2614.5
1	138	1	0	0	1	B2X3640	1	0.81150137	31.4
1	139	2	0	0	1	B2X3653	1	0.857295908	71.2
1	141	2	0	0	1	B2X3864	1	0.907480783	4800
1	142	2	0	0	1	B2X3931	1	0.76615667	889.8755062
1	143	1	0	0	2	B2X4037	1	0.924623324	26.1
1	144	1	0	0	1	B2X4190	1	0.6853351	500.6674666
1	145	1	0	0	1	B2X4839	1	0.709097667	1526.638668
1	147	2	0	0	1	B2X4845	1	0.977446444	1768.051597
1	149	2	0	0	1	B2X4934	1	0.758313065	7604
1	150	1	0	0	1	B2X4961	1	0.860244342	3948
1	152	1	0	0	2	B2X7195	1	0.914642608	161.7
1	155	2	0	0	2	B2X7415	1	0.940292076	3006
1	157	1	0	0	1	B2X7828	1	0.900433553	587.2431378
1	158	2	0	0	1	B2X7833	1	0.879676504	1405.242238
1	159	1	0	0	1	B2X7889	1	0.743094199	4891.5
1	160	2	0	0	1	B2X7890	1	0.77539558	2980
1	162	1	0	0	1	B4E9273	1	0.701002855	2796
1	163	2	0	0	1	B4H0051	1	0.713142226	3712
1	164	1	0	0	1	B4H0183	1	0.803736818	1040.947953
1	165	1	0	0	1	B4H0271	1	0.747819494	3004
1	8	2	116	115	1	B2X3238	0	0.907765064	526
1	9	1	116	115	1	B2X3243	0	0.893103181	8034
1	10	2	117	123	1	B3Y5802	0	0.685441438	206
1	11	1	117	123	1	B3Y5804	0	0.919698449	476
1	18	1	175	6	1	B2X7097	0	0.918162023	399
1	19	2	131	132	1	B2V8901	0	0.91193162	1385
1	20	2	131	132	1	B2V8902	0	0.970007456	4144
1	27	1	17	143	1	B2X7406	0	0.820225386	1104
1	39	2	140	129	1	B2X7378	0	0.91354691	1506
1	40	2	140	129	1	B2X7380	0	0.633159263	825
1	41	1	140	133	1	B2X7381	0	0.899376148	1240
1	42	1	140	129	1	B2X7382	0	0.896539035	369
1	43	1	140	129	1	B2X7383	0	0.86404875	919.0685714
1	44	1	178	187	1	B2X7022	0	0.925917748	1120
1	48	2	38	130	1	B2X7400	0	0.923019992	358.5
1	49	1	38	130	1	B2X7637	0	0.908884108	898
1	51	2	38	130	1	B2X7639	0	0.806453358	892.5
1	53	2	21	148	1	B3Y6645	0	0.918278184	468
1	54	2	21	30	1	B3Y6646	0	0.854786636	363.7168142
1	55	2	21	30	1	B3Y6648	0	0.732661508	168.4565772
1	56	2	21	30	1	B3Y6649	0	0.888751138	255
1	64	1	151	152	1	B3Y6823	0	0.881007086	143
