ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B2X3243_BL_CHK_M__SRR20216440	9272669	4137327	44.6%	187240261	46.7%	1.6%	0.5%
B2X3243_BL_CHK_M__SRR22581143	12206534	5592939	45.8%	256858886	49.7%	1.5%	0.7%
B2X3265_BL_ADL_M__SRR20216439	6391077	2224350	34.8%	97922408	47.3%	1.8%	0.5%
B2X3265_BL_ADL_M__SRR22581190	5518436	1493892	27.1%	62293849	50.9%	1.6%	0.7%
B2X3265_BL_CHK_M__SRR20216438	10495249	4538281	43.2%	202242376	49.0%	1.7%	0.5%
B2X3265_BL_CHK_M__SRR22581134	17863913	7985175	44.7%	356520541	54.0%	1.6%	0.7%
B2X3328_BL_CHK_F__SRR20216437	19715193	8468368	43.0%	376697531	48.5%	2.1%	0.5%
B2X3328_BL_CHK_F__SRR22581128	27514511	11366376	41.3%	495929702	49.8%	1.6%	0.7%
B2X3350_BL_ADL_M__SRR20216436	9819711	4221994	43.0%	187918998	48.5%	1.8%	0.5%
B2X3350_BL_ADL_M__SRR22581179	90894559	41192111	45.3%	1908539198	54.1%	1.4%	0.7%
B2X3350_BL_CHK_M__SRR20216435	9515613	3928924	41.3%	175697490	47.6%	2.0%	0.5%
B2X3350_BL_CHK_M__SRR22581160	15211072	6227092	40.9%	273203839	49.7%	1.7%	0.7%
B2X3443_BL_CHK_M__SRR20216432	28820754	12838689	44.5%	570600717	49.6%	1.8%	0.5%
B2X3443_BL_CHK_M__SRR20216433	5582573	2372723	42.5%	102762220	48.2%	1.9%	0.5%
B2X3443_BL_CHK_M__SRR22581232	30916721	14136673	45.7%	638047747	54.9%	1.6%	0.7%
B2X3443_BL_CHK_M__SRR22581236	55355172	24015850	43.4%	1073088048	55.9%	1.5%	0.7%
B2X3498_BL_ADL_M__SRR20216431	25399539	11256936	44.3%	507358425	49.2%	2.0%	0.5%
B2X3498_BL_ADL_M__SRR22581194	10958129	4669751	42.6%	203516139	48.6%	1.6%	0.7%
B2X3498_BL_ADL_M__SRR25143972	12647962	5156010	40.8%	331060516	49.6%	3.0%	2.1%
B2X3498_BL_ADL_M__SRR25143973	119556176	69453544	58.1%	4285071810	50.2%	0.7%	0.7%
B2X3498_BL_ADL_M__SRR25143974	22179244	9386349	42.3%	634692878	48.6%	1.7%	1.0%
