ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B2X7411_BL_CHK_M__SRR22581268	83154232	38363996	46.1%	1702200761	49.6%	1.7%	0.7%
B2X7415_BL_ADL_F__SRR20216580	14561923	6033368	41.4%	266579802	50.0%	2.1%	0.5%
B2X7415_BL_ADL_F__SRR22581217	4369939	1918049	43.9%	84280822	50.5%	1.8%	0.7%
B2X7415_BL_CHK_F__SRR20216581	7505087	3112212	41.5%	136774482	49.7%	2.0%	0.5%
B2X7415_BL_CHK_F__SRR22581184	11759881	5224899	44.4%	235591965	53.5%	1.5%	0.7%
B2X7441_BL_CHK_M__SRR10606810	120694935	69645906	57.7%	3167021162	55.4%	1.4%	0.9%
B2X7441_BL_CHK_M__SRR10606811	113183224	66432734	58.7%	3167046384	54.9%	1.4%	0.8%
B2X7441_BL_CHK_M__SRR10606822	23709330	15068251	63.6%	201181990	35.9%	0.7%	0.3%
B2X7441_BL_CHK_M__SRR10606840	19938125	12833580	64.4%	170522358	35.4%	0.7%	0.3%
B2X7441_BL_YRL_M__SRR10606825	24019194	14842627	61.8%	201078193	36.0%	0.7%	0.4%
B2X7441_BL_YRL_M__SRR10606842	24878840	15408499	61.9%	207534820	35.6%	0.7%	0.3%
B2X7449_BL_CHK_M__SRR10606808	197554172	123254806	62.4%	5895693907	57.2%	1.4%	0.8%
B2X7449_BL_CHK_M__SRR10606809	231649850	139821902	60.4%	6955154881	56.9%	1.3%	0.8%
B2X7449_BL_CHK_M__SRR10606821	28935845	18011231	62.2%	239409657	39.3%	0.7%	0.3%
B2X7449_BL_CHK_M__SRR10606839	24181454	15353346	63.5%	204400516	36.6%	0.7%	0.3%
B2X7449_BL_YRL_M__SRR10606824	26689775	16155380	60.5%	212094704	40.3%	0.7%	0.3%
B2X7449_BL_YRL_M__SRR10606841	25383670	15931691	62.8%	212642138	35.9%	0.7%	0.3%
B2X7548_BL_CHK_M__SRR20216579	64645957	28944316	44.8%	1290611055	49.0%	2.0%	0.5%
B2X7548_BL_CHK_M__SRR22581265	64972593	30039541	46.2%	1322455952	50.6%	1.7%	0.7%
B2X7608_BL_CHK_M__SRR20216578	47269163	11883732	25.1%	532423461	50.3%	1.8%	0.5%
B2X7608_BL_CHK_M__SRR22581149	19978191	5543265	27.7%	250068839	55.6%	1.6%	0.7%
B2X7637_BL_CHK_M__SRR20216577	9859741	4195209	42.5%	187379136	48.8%	1.7%	0.5%
B2X7637_BL_CHK_M__SRR22581132	10968487	4740648	43.2%	213218518	55.2%	1.6%	0.7%
B2X7638_BL_ADL_F__SRR20216576	83088703	37342833	44.9%	1680429247	46.2%	2.0%	0.5%
B2X7638_BL_ADL_F__SRR22581122	24543730	10506591	42.8%	477265688	49.2%	1.6%	0.7%
B2X7638_BL_CHK_F__SRR20216574	5524040	2248476	40.7%	100559194	52.0%	1.9%	0.5%
B2X7638_BL_CHK_F__SRR22581299	13584382	5707065	42.0%	254752259	57.0%	1.7%	0.7%
B2X7639_BL_CHK_F__SRR20216573	52816173	22963899	43.5%	1026231893	50.7%	1.9%	0.5%
B2X7639_BL_CHK_F__SRR22581291	20325168	8889640	43.7%	394340307	54.0%	1.7%	0.7%
B2X7642_BL_ADL_M__SRR20216572	40780139	18117571	44.4%	802424395	49.5%	1.9%	0.5%
B2X7642_BL_ADL_M__SRR22581286	4806149	2174723	45.2%	95221800	50.1%	1.7%	0.7%
B2X7828_BL_ADL_M__SRR20216571	30949168	13920936	45.0%	623302882	47.7%	2.2%	0.5%
B2X7828_BL_ADL_M__SRR22581126	5789787	2509231	43.3%	113270998	49.2%	1.6%	0.7%
B2X7833_BL_ADL_F__SRR20216570	14089065	5999802	42.6%	263341731	47.3%	2.3%	0.5%
B2X7833_BL_ADL_F__SRR22581117	23683701	10763307	45.4%	485666270	52.3%	1.7%	0.7%
B2X7889_BL_ADL_M__SRR20216569	21083452	9588372	45.5%	421692856	45.7%	1.9%	0.5%
B2X7889_BL_ADL_M__SRR22581238	64834926	29853665	46.0%	1367598263	51.5%	1.5%	0.7%
B2X7890_BL_ADL_F__SRR20216568	82614366	35582452	43.1%	1578410288	47.8%	2.0%	0.5%
B2X7890_BL_ADL_F__SRR22581250	21285066	9328764	43.8%	422368654	53.2%	1.5%	0.7%
B3Y5518_BL_ADL_F__SRR20216567	35679674	15791875	44.3%	689778107	49.6%	2.1%	0.5%
B3Y5518_BL_ADL_F__SRR22581205	16228056	7388820	45.5%	333780842	54.3%	1.5%	0.7%
B3Y5802_BL_CHK_F__SRR20216566	53706869	23655709	44.0%	1062263940	52.5%	1.7%	0.5%
B3Y5802_BL_CHK_F__SRR22581139	85445738	39252787	45.9%	1810750554	57.3%	1.5%	0.7%
B3Y5804_BL_CHK_M__SRR20216565	12649188	5458882	43.2%	242104108	51.2%	1.8%	0.5%
B3Y5804_BL_CHK_M__SRR22581211	8295409	3600161	43.4%	157036798	53.2%	1.6%	0.7%
B3Y5820_BL_ADL_M__SRR20216563	4454768	1974254	44.3%	88414285	44.6%	1.7%	0.5%
B3Y5820_BL_ADL_M__SRR22581176	68322982	30729357	45.0%	1428776602	47.9%	1.4%	0.7%
B3Y5820_BL_CHK_M__SRR20216562	6030881	2548624	42.3%	113050662	49.2%	1.8%	0.5%
B3Y5820_BL_CHK_M__SRR22581298	7497274	3342878	44.6%	146639799	52.6%	1.7%	0.7%
B3Y5931_BL_CHK_F__SRR20216561	72228008	30632412	42.4%	1372756823	50.1%	1.8%	0.5%
B3Y5931_BL_CHK_F__SRR22581289	69877092	30164120	43.2%	1328779191	51.1%	1.7%	0.7%
B3Y5976_BL_CHK_M__SRR20216560	35748647	15813992	44.2%	705357369	50.5%	2.0%	0.5%
B3Y5976_BL_CHK_M__SRR22581287	2192328	920738	42.0%	40597865	52.7%	1.7%	0.7%
B3Y5977_BL_CHK_M__SRR20216559	6078330	2681878	44.1%	119307119	50.0%	2.1%	0.5%
B3Y5977_BL_CHK_M__SRR22581275	10580002	4830875	45.7%	213940563	50.2%	1.7%	0.7%
B3Y5978_BL_CHK_M__SRR20216558	23680620	10484089	44.3%	468656633	51.5%	2.1%	0.5%
B3Y5978_BL_CHK_M__SRR22581267	22177840	10123205	45.6%	451875553	55.7%	1.8%	0.7%
B3Y5980_BL_CHK_M__SRR20216557	38777466	16369162	42.2%	736752538	48.2%	1.8%	0.5%
B3Y5980_BL_CHK_M__SRR22581226	18277226	7069448	38.7%	309886612	49.5%	1.7%	0.7%
B3Y5982_BL_CHK_F__SRR20216556	13298453	5656272	42.5%	254380445	48.9%	2.1%	0.5%
B3Y5982_BL_CHK_F__SRR22581166	23097709	10233340	44.3%	456903317	50.7%	1.7%	0.7%
B3Y5983_BL_CHK_F__SRR20216555	21115623	8793394	41.6%	393289007	49.2%	2.0%	0.5%
B3Y5983_BL_CHK_F__SRR22581157	100893609	43835843	43.4%	1948299620	52.0%	1.7%	0.7%
B3Y5984_BL_CHK_M__SRR20216554	4763059	2043876	42.9%	90857015	48.4%	1.9%	0.5%
B3Y5984_BL_CHK_M__SRR22581148	9864903	4530001	45.9%	204433704	54.9%	1.6%	0.7%
B3Y6090_BL_ADL_F__SRR20216552	6586400	2700163	41.0%	119155001	46.7%	1.8%	0.5%
B3Y6090_BL_ADL_F__SRR22581239	39098827	16948093	43.3%	773316106	53.4%	1.5%	0.7%
B3Y6099_BL_ADL_M__SRR20216551	38610150	17521561	45.4%	774790970	46.8%	2.0%	0.5%
B3Y6099_BL_ADL_M__SRR22581246	39984465	18214615	45.6%	829825619	51.8%	1.5%	0.7%
B3Y6645_BL_CHK_F__SRR20216550	14139083	5953089	42.1%	266610296	49.9%	2.1%	0.5%
B3Y6645_BL_CHK_F__SRR22581218	7720890	3265792	42.3%	142670683	50.6%	1.9%	0.7%
B3Y6646_BL_CHK_F__SRR20216549	44467827	18595323	41.8%	816148661	50.9%	2.0%	0.5%
B3Y6646_BL_CHK_F__SRR22581229	19028896	8368846	44.0%	365468887	55.1%	1.7%	0.7%
B3Y6648_BL_CHK_F__SRR20216548	106552112	45279327	42.5%	2034008556	49.7%	1.8%	0.5%
B3Y6648_BL_CHK_F__SRR22581220	33861645	14095005	41.6%	618232381	52.0%	1.6%	0.7%
B3Y6649_BL_CHK_F__SRR20216547	7564065	3197729	42.3%	142151684	50.8%	2.0%	0.5%
B3Y6649_BL_CHK_F__SRR22581283	10272025	4474510	43.6%	197526315	53.7%	1.8%	0.7%
B3Y6650_BL_ADL_F__SRR20216546	43707938	18715607	42.8%	833221445	48.3%	2.1%	0.5%
B3Y6650_BL_ADL_F__SRR22581216	11649716	4898922	42.1%	220967219	52.9%	1.6%	0.7%
B3Y6650_BL_CHK_F__SRR20216545	19654940	8286514	42.2%	369810710	50.1%	1.9%	0.5%
B3Y6650_BL_CHK_F__SRR22581274	48495292	21715787	44.8%	961664693	52.3%	1.6%	0.7%
B3Y6742_BL_ADL_F__SRR20216544	7906952	3365569	42.6%	147793082	48.5%	2.2%	0.5%
B3Y6742_BL_ADL_F__SRR22581260	17829022	8209633	46.0%	372534184	54.1%	1.6%	0.7%
B3Y6742_BL_CHK_F__SRR20216543	86562423	37252496	43.0%	1679099326	49.5%	1.9%	0.5%
B3Y6742_BL_CHK_F__SRR22581165	51159973	22199281	43.4%	981717217	51.2%	1.7%	0.7%
B3Y6823_BL_CHK_M__SRR20216541	22878566	10175473	44.5%	455589488	50.6%	2.1%	0.5%
B3Y6823_BL_CHK_M__SRR22581281	12260216	5541912	45.2%	246435215	52.0%	1.7%	0.7%
B3Y6857_BL_ADL_M__SRR20216540	7260685	3176357	43.7%	141180711	47.3%	2.1%	0.5%
B3Y6857_BL_ADL_M__SRR22581161	18527191	8678470	46.8%	386920993	50.7%	1.7%	0.7%
B3Y6859_BL_ADL_M__SRR20216539	5053276	2213307	43.8%	98186191	46.9%	2.0%	0.5%
B3Y6859_BL_ADL_M__SRR22581197	19972521	9138082	45.8%	415278736	52.2%	1.6%	0.7%
B3Y6935_BL_CHK_F__SRR20216538	22558800	9322891	41.3%	415729025	48.0%	1.9%	0.5%
B3Y6935_BL_CHK_F__SRR22581156	30431466	13052807	42.9%	574153726	51.0%	1.7%	0.7%
B4E9273_BL_ADL_M__SRR20216537	30552847	13969882	45.7%	619965333	44.8%	2.0%	0.5%
B4E9273_BL_ADL_M__SRR22581266	75782272	33508076	44.2%	1533316533	50.9%	1.6%	0.7%
B4E9350_BL_ADL_F__SRR20216536	11811136	4935859	41.8%	217910664	48.6%	1.9%	0.5%
B4E9350_BL_ADL_F__SRR22581153	27713781	12934417	46.7%	585506271	52.8%	1.6%	0.7%
B4E9350_BL_ADL_F__SRR24994230	3475754	1886258	54.3%	31084975	46.9%	1.0%	0.5%
B4E9350_BL_ADL_F__SRR24994231	3160163	1730237	54.8%	28593258	46.8%	1.0%	0.5%
B4E9350_BL_ADL_F__SRR24994232	3470507	1900442	54.8%	31438390	47.4%	1.0%	0.5%
B4E9350_BL_ADL_F__SRR24994233	3180609	1744500	54.8%	28852490	46.9%	1.0%	0.5%
B4E9350_BL_ADL_F__SRR25143968	12726242	5480500	43.1%	374282934	50.8%	2.1%	1.4%
B4E9350_BL_ADL_F__SRR25143969	149703383	90679500	60.6%	5441914685	51.4%	0.5%	0.5%
B4E9421_BL_ADL_F__SRR20216535	25811325	11133465	43.1%	500659606	48.4%	2.0%	0.5%
B4E9421_BL_ADL_F__SRR22581170	18929795	8460543	44.7%	377899349	48.8%	1.7%	0.7%
B4E9449_BL_CHK_M__SRR20216534	16039641	7060769	44.0%	308525029	50.1%	2.0%	0.5%
B4E9449_BL_CHK_M__SRR22581123	23280465	10717183	46.0%	481339305	56.2%	1.6%	0.7%
B4E9449_BL_CHK_M__SRR22581258	19819972	8858205	44.7%	386173390	51.9%	1.7%	0.7%
B4E9451_BL_CHK_F__SRR20216533	4061394	1691468	41.6%	75316735	49.0%	1.8%	0.5%
B4E9451_BL_CHK_F__SRR22581144	10836452	4908357	45.3%	223603480	51.9%	1.6%	0.7%
B4E9453_BL_CHK_M__SRR20216532	32502645	14376118	44.2%	639460826	50.6%	1.9%	0.5%
B4E9453_BL_CHK_M__SRR22581288	20054181	8792945	43.8%	386685372	53.7%	1.7%	0.7%
B4E9454_BL_CHK_F__SRR20216530	32315104	13548116	41.9%	595552007	52.5%	1.9%	0.5%
B4E9454_BL_CHK_F__SRR22581228	20235668	8935414	44.2%	387309322	54.1%	1.8%	0.7%
B4E9457_BL_CHK_F__SRR20216529	24075061	10327732	42.9%	455025041	53.1%	2.1%	0.5%
B4E9457_BL_CHK_F__SRR22581219	18002238	8018413	44.5%	348384623	55.9%	1.8%	0.7%
B4H0051_BL_ADL_F__SRR20216488	112023944	48907652	43.7%	2209267594	46.3%	1.8%	0.5%
B4H0051_BL_ADL_F__SRR22581224	36740130	15889714	43.2%	704825692	46.5%	1.6%	0.7%
B4H0051_BL_ADL_F__SRR24994242	2191404	1186291	54.1%	19558255	43.4%	1.0%	0.6%
B4H0051_BL_ADL_F__SRR24994243	2005953	1093204	54.5%	18072743	43.3%	1.0%	0.6%
B4H0051_BL_ADL_F__SRR24994244	2189623	1193275	54.5%	19732863	43.6%	1.0%	0.6%
B4H0051_BL_ADL_F__SRR24994245	2016276	1101161	54.6%	18220452	43.2%	1.0%	0.6%
B4H0183_BL_ADL_M__SRR20216487	36831157	16378989	44.5%	718342591	47.0%	2.0%	0.5%
B4H0183_BL_ADL_M__SRR22581188	34138220	16167333	47.4%	740349004	53.1%	1.5%	0.7%
B4H0183_BL_ADL_M__SRR24994222	7496999	4130379	55.1%	65574380	42.8%	1.0%	0.6%
B4H0183_BL_ADL_M__SRR24994223	8184103	4486824	54.8%	71296638	43.5%	1.0%	0.6%
B4H0183_BL_ADL_M__SRR24994224	7565740	4165281	55.1%	66161116	42.8%	1.0%	0.6%
B4H0183_BL_ADL_M__SRR24994246	8173979	4450242	54.4%	70445205	43.1%	1.0%	0.6%
B4H0271_BL_ADL_M__SRR20216486	36776431	16537757	45.0%	747910277	47.4%	1.9%	0.5%
B4H0271_BL_ADL_M__SRR22581294	44053458	20399451	46.3%	934356334	49.2%	1.6%	0.7%
B4H0271_BL_ADL_M__SRR24994237	4381298	2457219	56.1%	40023205	43.1%	0.9%	0.6%
B4H0271_BL_ADL_M__SRR24994238	4023223	2273065	56.5%	37087929	42.9%	0.9%	0.6%
B4H0271_BL_ADL_M__SRR24994239	4376735	2472595	56.5%	40426202	43.4%	0.9%	0.6%
B4H0271_BL_ADL_M__SRR24994240	4046866	2288630	56.6%	37334787	42.8%	0.9%	0.6%
B4H0453_BL_CHK_M__SRR20216485	24661955	10256806	41.6%	459966130	47.3%	1.9%	0.5%
B4H0453_BL_CHK_M__SRR22581202	16256708	6203694	38.2%	273840448	48.3%	1.5%	0.7%
B4H0543_BL_CHK_M__SRR20216484	41228733	18283950	44.3%	810397283	47.9%	2.2%	0.5%
B4H0543_BL_CHK_M__SRR22581256	9733943	4196015	43.1%	185737619	48.2%	1.6%	0.7%
B4H0546_BL_CHK_M__SRR20216483	13788603	5968157	43.3%	262782516	49.1%	2.4%	0.5%
B4H0546_BL_CHK_M__SRR22581248	25225061	11299661	44.8%	507971891	52.8%	1.6%	0.7%
B4H0548_BL_CHK_M__SRR20216482	19853804	8740810	44.0%	392961788	47.8%	2.1%	0.5%
B4H0548_BL_CHK_M__SRR22581127	15069702	6253318	41.5%	280745213	49.4%	1.6%	0.7%
B4H0631_BL_CHK_F__SRR20216481	5143700	2089062	40.6%	92152718	50.0%	1.8%	0.5%
B4H0631_BL_CHK_F__SRR22581146	14457355	6321063	43.7%	273431554	51.0%	1.7%	0.7%
B4H0632_BL_CHK_F__SRR20216479	12535304	5358600	42.7%	238625874	49.3%	1.7%	0.5%
B4H0632_BL_CHK_F__SRR22581137	13019839	5587121	42.9%	243795001	50.7%	1.6%	0.7%
B4H0633_BL_CHK_F__SRR20216478	9331389	3831725	41.1%	168368106	49.2%	1.8%	0.5%
B4H0633_BL_CHK_F__SRR22581208	27511386	11683911	42.5%	500550091	51.0%	1.7%	0.7%
B4H0634_BL_CHK_F__SRR20216477	38199786	16479421	43.1%	730573565	48.3%	2.0%	0.5%
B4H0634_BL_CHK_F__SRR22581303	27378179	11668325	42.6%	516193069	49.1%	1.6%	0.7%
B4H0635_BL_CHK_F__SRR20216476	24777226	10413734	42.0%	464877002	47.6%	2.0%	0.5%
B4H0635_BL_CHK_F__SRR22581181	13964725	5464014	39.1%	242446859	48.7%	1.6%	0.7%
B4H0637_BL_CHK_M__SRR20216475	20950801	9136505	43.6%	402720885	48.1%	2.1%	0.5%
B4H0637_BL_CHK_M__SRR22581163	7984907	3462409	43.4%	153036069	49.4%	1.6%	0.7%
B4H0825_BL_ADL_M__SRR20216474	5510655	2402454	43.6%	105943915	46.9%	1.8%	0.5%
B4H0825_BL_ADL_M__SRR22581135	5716172	2589599	45.3%	114166704	51.5%	1.7%	0.7%
B4H0827_BL_CHK_M__SRR20216473	20675478	9258623	44.8%	413459319	48.9%	2.2%	0.5%
B4H0827_BL_CHK_M__SRR22581272	32585048	14997264	46.0%	656256644	50.6%	1.8%	0.7%
B4H0828_BL_CHK_M__SRR20216472	38159923	17161408	45.0%	766112813	48.7%	2.0%	0.5%
B4H0828_BL_CHK_M__SRR22581120	72966774	33110571	45.4%	1514607713	53.8%	1.5%	0.7%
B4H0830_BL_CHK_M__SRR20216471	32554533	13988750	43.0%	617894698	48.9%	2.0%	0.5%
B4H0830_BL_CHK_M__SRR22581155	1192067	478277	40.1%	20894258	50.7%	1.9%	0.7%
B4H0832_BL_ADL_F__SRR20216470	6746408	2866078	42.5%	129368941	41.9%	2.2%	0.5%
B4H0832_BL_ADL_F__SRR22581121	1465172	645493	44.1%	29771456	44.7%	1.5%	0.7%
B4H0832_BL_CHK_F__SRR20216468	39119655	16916439	43.2%	758454233	49.2%	1.8%	0.5%
B4H0832_BL_CHK_F__SRR22581233	31933007	14440570	45.2%	654359790	52.6%	1.6%	0.7%
B4H1194_BL_CHK_F__SRR20216467	185464431	80901798	43.6%	3577198565	49.6%	2.2%	0.5%
B4H1194_BL_CHK_F__SRR22581129	27852326	12606546	45.3%	561218787	51.6%	1.6%	0.7%
B4H1195_BL_CHK_M__SRR20216466	59967640	26640930	44.4%	1185840950	47.4%	1.9%	0.5%
B4H1195_BL_CHK_M__SRR22581277	21480307	9177361	42.7%	411458795	49.2%	1.5%	0.7%
B4H1197_BL_CHK_F__SRR20216465	14411943	6083333	42.2%	268904071	50.7%	2.1%	0.5%
B4H1197_BL_CHK_F__SRR22581273	6521054	2789661	42.8%	121728235	52.4%	1.8%	0.7%
B4H1335_BL_CHK_M__SRR20216464	31232717	13945805	44.7%	620608676	49.1%	1.7%	0.5%
B4H1335_BL_CHK_M__SRR22581147	16756354	7631574	45.5%	335034873	51.1%	1.6%	0.7%
B4H1338_BL_ADL_F__SRR20216463	70181328	30276631	43.1%	1332171636	47.5%	2.3%	0.5%
B4H1338_BL_ADL_F__SRR22581251	5430970	2368090	43.6%	104715814	47.7%	1.6%	0.7%
B4H1338_BL_CHK_F__SRR20216462	33844733	14453787	42.7%	648548977	49.4%	1.6%	0.5%
B4H1338_BL_CHK_F__SRR22581138	22402727	9741364	43.5%	432825645	51.2%	1.5%	0.7%
B4H1339_BL_CHK_M__SRR20216461	49065449	21966008	44.8%	985741609	49.5%	1.7%	0.5%
B4H1339_BL_CHK_M__SRR22581209	1907101	775048	40.6%	33822293	51.6%	1.6%	0.7%
B4H1340_BL_ADL_M__SRR20216460	25703655	11542490	44.9%	507145654	47.4%	2.2%	0.5%
B4H1340_BL_ADL_M__SRR22581130	11379051	5154114	45.3%	232632360	50.9%	1.6%	0.7%
B4H1342_BL_CHK_F__SRR20216459	12056728	5106027	42.4%	225378426	49.0%	1.9%	0.5%
B4H1342_BL_CHK_F__SRR22581297	36277497	16028699	44.2%	699540901	53.1%	1.7%	0.7%
B4H1350_BL_CHK_F__SRR20216457	55110699	23607401	42.8%	1040531640	51.6%	2.1%	0.5%
B4H1350_BL_CHK_F__SRR22581282	8536555	3658688	42.9%	158030644	53.2%	1.9%	0.7%
B4H1928_BL_CHK_M__SRR20216456	39494379	17421863	44.1%	772392307	48.0%	2.1%	0.5%
B4H1928_BL_CHK_M__SRR22581264	104083433	46802558	45.0%	2026170707	49.8%	1.8%	0.7%
B4H1996_BL_CHK_M__SRR20216455	40355067	18038783	44.7%	805730152	49.9%	2.1%	0.5%
B4H1996_BL_CHK_M__SRR22581164	73637104	34237720	46.5%	1516263652	51.7%	1.8%	0.7%
B4P8236_BL_CHK_M__SRR20216454	12265817	5387991	43.9%	238190556	49.8%	2.3%	0.5%
B4P8236_BL_CHK_M__SRR22581193	20030308	9139236	45.6%	412543798	53.3%	1.7%	0.7%
B4P8531_BL_CHK_M__SRR20216453	7629611	3113723	40.8%	137246746	47.1%	2.2%	0.5%
B4P8531_BL_CHK_M__SRR22581118	13773489	5170620	37.5%	227646426	49.8%	1.6%	0.7%
B4P8908_BL_ADL_M__SRR20216452	19917038	8799245	44.2%	391882428	47.4%	1.9%	0.5%
B4P8908_BL_ADL_M__SRR22581285	13206269	6048654	45.8%	272750356	52.1%	1.6%	0.7%
B4P8912_BL_ADL_F__SRR20216451	41055438	17585102	42.8%	774161387	46.1%	2.2%	0.5%
B4P8912_BL_ADL_F__SRR22581113	15755010	6713801	42.6%	300680368	51.4%	1.6%	0.7%
B4P8912_BL_ADL_F__SRR24994225	3113133	1693307	54.4%	26942989	46.5%	1.0%	0.6%
B4P8912_BL_ADL_F__SRR24994226	2822286	1548759	54.9%	24732787	45.8%	1.0%	0.6%
B4P8912_BL_ADL_F__SRR24994228	3104369	1699363	54.7%	27118522	46.7%	1.0%	0.6%
B4P8912_BL_ADL_F__SRR24994229	2837324	1558090	54.9%	24899016	45.9%	1.0%	0.5%
B4P8958_BL_CHK_F__SRR20216450	2564548	1058911	41.3%	47049777	47.3%	1.8%	0.5%
B4P8958_BL_CHK_F__SRR22581180	13810576	5869074	42.5%	262157085	48.0%	1.5%	0.7%
B4P9464_BL_CHK_F__SRR20216449	43703224	18550543	42.4%	817192690	47.6%	2.0%	0.5%
B4P9464_BL_CHK_F__SRR22581189	6521178	2712810	41.6%	119247136	48.5%	1.6%	0.7%
B4P9995_BL_CHK_F__SRR20216448	3212495	1284301	40.0%	56692648	46.4%	2.0%	0.5%
B4P9995_BL_CHK_F__SRR22581172	61838850	26910745	43.5%	1224904725	53.4%	1.5%	0.7%
B4X1746_BL_CHK_F__SRR22581171	35200783	15014360	42.7%	669975824	48.0%	1.7%	0.7%
C2R0242_BL_ADL_F__SRR10606806	219243866	71745308	32.7%	3339422650	50.9%	1.6%	1.0%
C2R0242_BL_ADL_F__SRR10606807	246003574	80093546	32.6%	3800046335	50.8%	1.6%	1.0%
C2R0553_BL_ADL_M__SRR10606804	249525536	71524898	28.7%	3396375068	50.4%	1.6%	1.0%
C2R0553_BL_ADL_M__SRR10606805	127067598	38760546	30.5%	1871503339	48.9%	1.4%	0.9%
