ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B2X3350_BL_ADL_M__SRR22581179	Saarland_Second	B2X3350_BL_ADL_M	SRR22581179	B2X3350	BL	ADL	M
B2X7402_BL_ADL_F__SRR22581136	Saarland_Second	B2X7402_BL_ADL_F	SRR22581136	B2X7402	BL	ADL	F
B2X4037_BL_ADL_M__SRR22581234	Saarland_Second	B2X4037_BL_ADL_M	SRR22581234	B2X4037	BL	ADL	M
B2X7408_BL_ADL_F__SRR22581261	Saarland_Second	B2X7408_BL_ADL_F	SRR22581261	B2X7408	BL	ADL	F
B2X4036_BL_CHK_F__SRR22581284	Saarland_Second	B2X4036_BL_CHK_F	SRR22581284	B2X4036	BL	CHK	F
B2X4036_BL_ADL_F__SRR22581245	Saarland_Second	B2X4036_BL_ADL_F	SRR22581245	B2X4036	BL	ADL	F
B2X7304_BL_CHK_M__SRR22581158	Saarland_Second	B2X7304_BL_CHK_M	SRR22581158	B2X7304	BL	CHK	M
B2X3443_BL_CHK_M__SRR22581236	Saarland_Second	B2X3443_BL_CHK_M	SRR22581236	B2X3443	BL	CHK	M
B4H0183_BL_ADL_M__SRR22581188	Saarland_Second	B4H0183_BL_ADL_M	SRR22581188	B4H0183	BL	ADL	M
B3Y5984_BL_CHK_M__SRR22581148	Saarland_Second	B3Y5984_BL_CHK_M	SRR22581148	B3Y5984	BL	CHK	M
B2X3683_BL_ADL_M__SRR22581116	Saarland_Second	B2X3683_BL_ADL_M	SRR22581116	B2X3683	BL	ADL	M
B4E9449_BL_CHK_M__SRR22581123	Saarland_Second	B4E9449_BL_CHK_M	SRR22581123	B4E9449	BL	CHK	M
B2X7400_BL_CHK_F__SRR22581140	Saarland_Second	B2X7400_BL_CHK_F	SRR22581140	B2X7400	BL	CHK	F
B2X4034_BL_ADL_F__SRR22581254	Saarland_Second	B2X4034_BL_ADL_F	SRR22581254	B2X4034	BL	ADL	F
B4H0453_BL_CHK_M__SRR22581202	Saarland_Second	B4H0453_BL_CHK_M	SRR22581202	B4H0453	BL	CHK	M
B2X3640_BL_ADL_M__SRR22581237	Saarland_Second	B2X3640_BL_ADL_M	SRR22581237	B2X3640	BL	ADL	M
B2X3621_BL_ADL_M__SRR22581204	Saarland_Second	B2X3621_BL_ADL_M	SRR22581204	B2X3621	BL	ADL	M
B2X7338_BL_ADL_F__SRR22581257	Saarland_Second	B2X7338_BL_ADL_F	SRR22581257	B2X7338	BL	ADL	F
B2V8668_BL_CHK_F__SRR22581212	Saarland_Second	B2V8668_BL_CHK_F	SRR22581212	B2V8668	BL	CHK	F
B3Y6648_BL_CHK_F__SRR22581220	Saarland_Second	B3Y6648_BL_CHK_F	SRR22581220	B3Y6648	BL	CHK	F
B3Y6646_BL_CHK_F__SRR22581229	Saarland_Second	B3Y6646_BL_CHK_F	SRR22581229	B3Y6646	BL	CHK	F
